"REF_DATE","GEO","DGUID","Electric power, components","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2007-05","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","12530145","","r","","0"
"2007-06","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","13278519","","r","","0"
"2007-07","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","13651149","","","","0"
"2007-08","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","13899013","","","","0"
"2007-09","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","11947963","","","","0"
"2007-10","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","12086024","","","","0"
"2007-11","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","12342047","","","","0"
"2007-12","Ontario","","Overall total generation","Megawatt hours","210","units","0","v222264","7.117","13796687","","","","0"
"2002-05","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","11792554","","r","","0"
"2002-06","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","12104162","","r","","0"
"2002-07","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","13214636","","r","","0"
"2002-08","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","12459729","","r","","0"
"2002-09","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","11503288","","r","","0"
"2002-10","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","11740730","","r","","0"
"2002-11","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","11888428","","r","","0"
"2002-12","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","12813079","","r","","0"
"2003-01","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","14184663","","r","","0"
"2003-02","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","12359172","","r","","0"
"2003-03","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","12414513","","r","","0"
"2003-04","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","11386843","","r","","0"
"2003-05","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","11345725","","r","","0"
"2003-06","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","11462996","","r","","0"
"2003-07","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","13134891","","r","","0"
"2003-08","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","12203911","","r","","0"
"2003-09","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","10982163","","r","","0"
"2003-10","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","11026245","","r","","0"
"2003-11","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","11786366","","r","","0"
"2003-12","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","12739035","","r","","0"
"2004-01","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","14220298","","r","","0"
"2004-02","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","12550301","","r","","0"
"2004-03","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","12889173","","r","","0"
"2004-04","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","11952459","","r","","0"
"2004-05","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","12384587","","r","","0"
"2004-06","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","12273737","","r","","0"
"2004-07","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","13034550","","r","","0"
"2004-08","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","13145804","","r","","0"
"2004-09","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","11493818","","r","","0"
"2004-10","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","11544463","","r","","0"
"2004-11","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","11688061","","r","","0"
"2004-12","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","13548568","","r","","0"
"2005-01","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","14526418","","r","","0"
"2005-02","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","12914398","","r","","0"
"2005-03","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","13663131","","r","","0"
"2005-04","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","11319680","","r","","0"
"2005-05","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","11724366","","r","","0"
"2005-06","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","13174361","","r","","0"
"2005-07","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","13567124","","r","","0"
"2005-08","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","13713585","","r","","0"
"2005-09","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","12324538","","r","","0"
"2005-10","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","11979342","","r","","0"
"2005-11","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","12502425","","r","","0"
"2005-12","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","13817751","","r","","0"
"2006-01","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","13881037","","","","0"
"2006-02","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","13130905","","","","0"
"2006-03","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","13705451","","","","0"
"2006-04","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","12392535","","","","0"
"2006-05","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","12250968","","","","0"
"2006-06","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","12661755","","","","0"
"2006-07","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","14083286","","","","0"
"2006-08","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","13897744","","","","0"
"2006-09","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","11843162","","","","0"
"2006-10","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","12391907","","r","","0"
"2006-11","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","11621744","","r","","0"
"2006-12","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","12941845","","","","0"
"2007-01","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","13922915","","r","","0"
"2007-02","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","13665851","","r","","0"
"2007-03","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","13252908","","r","","0"
"2007-04","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","12574166","","r","","0"
"2007-05","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","12317852","","r","","0"
"2007-06","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","13039748","","r","","0"
"2007-07","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","13420959","","","","0"
"2007-08","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","13717929","","","","0"
"2007-09","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","11765910","","","","0"
"2007-10","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","11875652","","","","0"
"2007-11","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","12106626","","","","0"
"2007-12","Ontario","","Total utility generation","Megawatt hours","210","units","0","v222254","7.106","13559175","","","","0"
"2002-05","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","377706","","r","","0"
"2002-06","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","367581","","r","","0"
"2002-07","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","342646","","r","","0"
"2002-08","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","334788","","r","","0"
"2002-09","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","304058","","r","","0"
"2002-10","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","373122","","r","","0"
"2002-11","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","339319","","r","","0"
"2002-12","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","385243","","r","","0"
"2003-01","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","417411","","r","","0"
"2003-02","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","403710","","r","","0"
"2003-03","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","519810","","r","","0"
"2003-04","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","414078","","r","","0"
"2003-05","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","340764","","r","","0"
"2003-06","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","330041","","r","","0"
"2003-07","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","357445","","r","","0"
"2003-08","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","416806","","r","","0"
"2003-09","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","434069","","r","","0"
"2003-10","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","461374","","r","","0"
"2003-11","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","486774","","r","","0"
"2003-12","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","454563","","r","","0"
"2004-01","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","438502","","r","","0"
"2004-02","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","390676","","r","","0"
"2004-03","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","523620","","","","0"
"2004-04","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","483714","","r","","0"
"2004-05","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","489066","","r","","0"
"2004-06","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","420998","","r","","0"
"2004-07","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","392500","","r","","0"
"2004-08","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","360096","","r","","0"
"2004-09","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","447466","","r","","0"
"2004-10","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","449542","","r","","0"
"2004-11","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","434473","","r","","0"
"2004-12","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","451855","","r","","0"
"2005-01","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","335817","","r","","0"
"2005-02","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","295378","","r","","0"
"2005-03","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","314513","","r","","0"
"2005-04","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","306708","","r","","0"
"2005-05","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","295172","","r","","0"
"2005-06","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","235994","","r","","0"
"2005-07","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","219418","","r","","0"
"2005-08","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","237120","","r","","0"
"2005-09","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","203054","","r","","0"
"2005-10","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","246391","","r","","0"
"2005-11","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","286475","","r","","0"
"2005-12","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","318957","","r","","0"
"2006-01","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","321318","","","","0"
"2006-02","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","289313","","","","0"
"2006-03","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","305570","","","","0"
"2006-04","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","286628","","","","0"
"2006-05","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","276810","","","","0"
"2006-06","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","228127","","","","0"
"2006-07","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","215193","","","","0"
"2006-08","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","209373","","","","0"
"2006-09","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","199717","","","","0"
"2006-10","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","243357","","r","","0"
"2006-11","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","252404","","","","0"
"2006-12","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","262397","","","","0"
"2007-01","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","273327","","r","","0"
"2007-02","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","239139","","","","0"
"2007-03","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","256361","","","","0"
"2007-04","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","231285","","r","","0"
"2007-05","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","212293","","","","0"
"2007-06","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","238771","","r","","0"
"2007-07","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","230190","","","","0"
"2007-08","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","181084","","","","0"
"2007-09","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","182053","","","","0"
"2007-10","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","210372","","","","0"
"2007-11","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","235421","","","","0"
"2007-12","Ontario","","Total industrial generation","Megawatt hours","210","units","0","v222258","7.111","237512","","","","0"
"2002-05","Ontario","","Total hydro generation","Megawatt hours","210","units","0","v222259","7.112","4048272","","r","","0"
"2002-06","Ontario","","Total hydro generation","Megawatt hours","210","units","0","v222259","7.112","3713982","","r","","0"
"2002-07","Ontario","","Total hydro generation","Megawatt hours","210","units","0","v222259","7.112","3074377","","r","","0"
"2002-08","Ontario","","Total hydro generation","Megawatt hours","210","units","0","v222259","7.112","2603320","","r","","0"
"2002-09","Ontario","","Total hydro generation","Megawatt hours","210","units","0","v222259","7.112","2354060","","r","","0"
"2002-10","Ontario","","Total hydro generation","Megawatt hours","210","units","0","v222259","7.112","2795590","","r","","0"
"2002-11","Ontario","","Total hydro generation","Megawatt hours","210","units","0","v222259","7.112","2652578","","r","","0"
"2002-12","Ontario","","Total hydro generation","Megawatt hours","210","units","0","v222259","7.112","2743978","","r","","0"
"2003-01","Ontario","","Total hydro generation","Megawatt hours","210","units","0","v222259","7.112","2864657","","r","","0"
"2003-02","Ontario","","Total hydro generation","Megawatt hours","210","units","0","v222259","7.112","2593291","","r","","0"
"2003-03","Ontario","","Total hydro generation","Megawatt hours","210","units","0","v222259","7.112","2762349","","r","","0"
"2003-04","Ontario","","Total hydro generation","Megawatt hours","210","units","0","v222259","7.112","2807346","","r","","0"
"2003-05","Ontario","","Total hydro generation","Megawatt hours","210","units","0","v222259","7.112","3227549","","r","","0"
"2003-06","Ontario","","Total hydro generation","Megawatt hours","210","units","0","v222259","7.112","2878413","","r","","0"
"2003-07","Ontario","","Total hydro generation","Megawatt hours","210","units","0","v222259","7.112","2806265","","r","","0"
"2003-08","Ontario","","Total hydro generation","Megawatt hours","210","units","0","v222259","7.112","3014945","","r","","0"
"2003-09","Ontario","","Total hydro generation","Megawatt hours","210","units","0","v222259","7.112","2637394","","r","","0"
"2003-10","Ontario","","Total hydro generation","Megawatt hours","210","units","0","v222259","7.112","3308619","","r","","0"
"2003-11","Ontario","","Total hydro generation","Megawatt hours","210","units","0","v222259","7.112","3486698","","r","","0"
"2003-12","Ontario","","Total hydro generation","Megawatt hours","210","units","0","v222259","7.112","3533945","","r","","0"
"2004-01","Ontario","","Total hydro generation","Megawatt hours","210","units","0","v222259","7.112","3488883","","r","","0"
"2004-02","Ontario","","Total hydro generation","Megawatt hours","210","units","0","v222259","7.112","3197355","","r","","0"
"2004-03","Ontario","","Total hydro generation","Megawatt hours","210","units","0","v222259","7.112","3333742","","r","","0"
"2004-04","Ontario","","Total hydro generation","Megawatt hours","210","units","0","v222259","7.112","3537152","","r","","0"
"2004-05","Ontario","","Total hydro generation","Megawatt hours","210","units","0","v222259","7.112","3924695","","r","","0"
"2004-06","Ontario","","Total hydro generation","Megawatt hours","210","units","0","v222259","7.112","3248840","","r","","0"
"2004-07","Ontario","","Total hydro generation","Megawatt hours","210","units","0","v222259","7.112","3495720","","r","","0"
"2004-08","Ontario","","Total hydro generation","Megawatt hours","210","units","0","v222259","7.112","3031751","","r","","0"
"2004-09","Ontario","","Total hydro generation","Megawatt hours","210","units","0","v222259","7.112","2957299","","r","","0"
"2004-10","Ontario","","Total hydro generation","Megawatt hours","210","units","0","v222259","7.112","2939079","","r","","0"
"2004-11","Ontario","","Total hydro generation","Megawatt hours","210","units","0","v222259","7.112","3139580","","r","","0"
"2004-12","Ontario","","Total hydro generation","Megawatt hours","210","units","0","v222259","7.112","3200436","","r","","0"
"2005-01","Ontario","","Total hydro generation","Megawatt hours","210","units","0","v222259","7.112","3268521","","r","","0"
"2005-02","Ontario","","Total hydro generation","Megawatt hours","210","units","0","v222259","7.112","3038204","","r","","0"
"2005-03","Ontario","","Total hydro generation","Megawatt hours","210","units","0","v222259","7.112","3205729","","r","","0"
"2005-04","Ontario","","Total hydro generation","Megawatt hours","210","units","0","v222259","7.112","3797472","","r","","0"
"2005-05","Ontario","","Total hydro generation","Megawatt hours","210","units","0","v222259","7.112","3481216","","r","","0"
"2005-06","Ontario","","Total hydro generation","Megawatt hours","210","units","0","v222259","7.112","2875940","","r","","0"
"2005-07","Ontario","","Total hydro generation","Megawatt hours","210","units","0","v222259","7.112","2562777","","r","","0"
"2005-08","Ontario","","Total hydro generation","Megawatt hours","210","units","0","v222259","7.112","2295079","","r","","0"
"2005-09","Ontario","","Total hydro generation","Megawatt hours","210","units","0","v222259","7.112","2072511","","r","","0"
"2005-10","Ontario","","Total hydro generation","Megawatt hours","210","units","0","v222259","7.112","2580484","","r","","0"
"2005-11","Ontario","","Total hydro generation","Megawatt hours","210","units","0","v222259","7.112","3074762","","","","0"
"2005-12","Ontario","","Total hydro generation","Megawatt hours","210","units","0","v222259","7.112","3397240","","r","","0"
"2006-01","Ontario","","Total hydro generation","Megawatt hours","210","units","0","v222259","7.112","3204373","","","","0"
"2006-02","Ontario","","Total hydro generation","Megawatt hours","210","units","0","v222259","7.112","3127448","","","","0"
"2006-03","Ontario","","Total hydro generation","Megawatt hours","210","units","0","v222259","7.112","3437823","","","","0"
"2006-04","Ontario","","Total hydro generation","Megawatt hours","210","units","0","v222259","7.112","3796357","","","","0"
"2006-05","Ontario","","Total hydro generation","Megawatt hours","210","units","0","v222259","7.112","3453241","","","","0"
"2006-06","Ontario","","Total hydro generation","Megawatt hours","210","units","0","v222259","7.112","2701238","","","","0"
"2006-07","Ontario","","Total hydro generation","Megawatt hours","210","units","0","v222259","7.112","2650785","","","","0"
"2006-08","Ontario","","Total hydro generation","Megawatt hours","210","units","0","v222259","7.112","2491003","","","","0"
"2006-09","Ontario","","Total hydro generation","Megawatt hours","210","units","0","v222259","7.112","2265888","","","","0"
"2006-10","Ontario","","Total hydro generation","Megawatt hours","210","units","0","v222259","7.112","2949668","","r","","0"
"2006-11","Ontario","","Total hydro generation","Megawatt hours","210","units","0","v222259","7.112","2982354","","r","","0"
"2006-12","Ontario","","Total hydro generation","Megawatt hours","210","units","0","v222259","7.112","3483500","","","","0"
"2007-01","Ontario","","Total hydro generation","Megawatt hours","210","units","0","v222259","7.112","3487402","","r","","0"
"2007-02","Ontario","","Total hydro generation","Megawatt hours","210","units","0","v222259","7.112","3064867","","r","","0"
"2007-03","Ontario","","Total hydro generation","Megawatt hours","210","units","0","v222259","7.112","3158616","","r","","0"
"2007-04","Ontario","","Total hydro generation","Megawatt hours","210","units","0","v222259","7.112","3181880","","r","","0"
"2007-05","Ontario","","Total hydro generation","Megawatt hours","210","units","0","v222259","7.112","3075769","","r","","0"
